DIAGNOSIS_CODE,SHORT_DESCRIPTION,LONG_DESCRIPTION,diagnosis_code_key,gold_run_id,gold_processed_timestamp
T8052XS,"Anaphylactic reaction due to vaccination, sequela","Anaphylactic reaction due to vaccination, sequela",f8cc0efaa9c71869488afcc2a906b1c437e6d3fbedef42090a22a6134b55282f,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:46.655654
T8082XD,"Complication of immune effector cellular therapy, subs","Complication of immune effector cellular therapy, subsequent encounter",596f5e77392a6d9dc627a336708d3af4e65b883e8149fd41973f3b4ea63cd0de,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:46.655654
T8090XA,"Unsp comp following infusion and therapeutic injection, init","Unspecified complication following infusion and therapeutic injection, initial encounter",1db56f33b1dc1f68f0e408589e21a5bc227780f3d95360e592df9dec188f95da,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:46.655654
T80A0XD,"Non-ABO incompat react d/t tranfs of bld/bld prod,unsp, subs","Non-ABO incompatibility reaction due to transfusion of blood or blood products, unspecified, subsequent encounter",2adcf04ec3cfab8cb2e345a509a6b6bdeaca8591abd5122621cc1d74ea22e7e0,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:46.655654
T8112XS,"Postprocedural septic shock, sequela","Postprocedural septic shock, sequela",a997cbe81b0f6ad44b6e59deaff7480ff2693c38d2dee11a0cdc8e6c1f77c016,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:46.655654
T8131XS,"Disrupt of external operation (surgical) wound, NEC, sequela","Disruption of external operation (surgical) wound, not elsewhere classified, sequela",c02b4652d003ee5589f35962212581736d14863d5bf77677089f2b9058fe5682,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:46.655654
T81321S,"Disrupt/dehisc closr int op (surg) wnd abd wl msl/fasc, sqla","Disruption or dehiscence of closure of internal operation (surgical) wound of abdominal wall muscle or fascia, sequela",a9c74dcd657fd3b0183c580cb0e055382ef486b551f76992cd5bf1da3c0a3e17,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:46.655654
T814XXA,"Infection following a procedure, initial encounter","Infection following a procedure, initial encounter",ff0b73cc5469f614e8f436573b37ada0f7b8d26ca2bb8d8b6e8a4730e7878ddc,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:46.655654
T81501A,"Unsp comp of fb acc left in body fol infusn/transfusn, init","Unspecified complication of foreign body accidentally left in body following infusion or transfusion, initial encounter",8864688743f240ea5e49256a10be10ce03b13ae82eb1fbb14dfb3b5a202223a0,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:46.655654
T81502D,"Unsp comp of fb acc left in body fol kidney dialysis, subs","Unspecified complication of foreign body accidentally left in body following kidney dialysis, subsequent encounter",09fcdee616e5f209359b7a62951e81a9379ecf5b33b0f4f004bda63e099b450d,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:46.655654
