procedure_code,long_description,short_description,procedure_code_key,gold_run_id,gold_processed_timestamp
A2,Dressing for two wounds,Dressing for two wounds,c8361f9b468e68c86da024270e0949ce139cb704b8d7cce586681b99f3a7ea56,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A6,Dressing for six wounds,Dressing for six wounds,d94791a85f88d5f49c3cc06d5557316cf743d60149820c594f389a1b301ff021,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A8,Dressing for eight wounds,Dressing for eight wounds,553a0fddbb387723578263570e63a83955482ae44f45bac9a90c65ddc058329f,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
AD,Medical supervision by a physician: more than four concurrent anesthesia procedures,"Md supervision, >4 anes proc",c7bf4bbdbcd88d9d7f7c7b299c94e9e52091af2fd2888ecf85a9d6a4160b4184,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
AU,"Item furnished in conjunction with a urological, ostomy, or tracheostomy supply","Uro, ostomy or trach item",86936315fce40c126916c0c980e24be16cd8fd390243c6740f58c62d08cea336,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
BA,Item furnished in conjunction with parenteral enteral nutrition (pen) services,Item w pen services,296d71a7f66e75b751c597094536329dcf2cf484f83e475d91f7aea1ff4c9738,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
CQ,Outpatient physical therapy services furnished in whole or in part by a physical therapist assistant,Outpatient pt service by pta,37298f0f2ca4a9c115341632232ce0268f1549dc09e0c5d13482599fc702783a,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
EE,Hematocrit level has not exceeded 39% (or hemoglobin level has not exceeded 13.0 g/dl) for 3 or more consecutive billing cycles immediately prior to and including the current cycle,Hct>39% or hgb>13g<3 cycle,bd43c62d6ccc0ceb731444123576f0ee21f5f66bfd673edacd95e52e724b4fa6,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
FY,X-ray taken using computed radiography technology/cassette-based imaging,Computed radiography x-ray,939342fb94f9160a37f9edc0510fced5e779a41117267f426d828d61588af763,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
GC,This service has been performed in part by a resident under the direction of a teaching physician,Resident/teaching phys serv,9ae816716fdd5670857a3a18fdbfb60ad627a67f5b80bf04e88f5f14e75006e0,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
GZ,Item or service expected to be denied as not reasonable and necessary,Not reasonable and necessary,6145351cca86ee15e9b3edb878f26ea7de62e953ca017e86c0891a05dc1b19c7,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
