provider_id,npi,provider_specialty,provider_state,provider_key,gold_run_id,gold_processed_timestamp
PROVIDER_1002,1002,Anesthesiologist,MA,005941cfe07feb5c6a07833705042b6a2e1c446f294676b7356b320d7f418ee6,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:37.023142
PROVIDER_1018,1018,Hematologist,FL,c9434f2cdb4bf7d02824bf5d8a140b00743eb3749212d83881f67e2307c2ea56,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:37.023142
PROVIDER_1028,1028,Dermatologist,ME,d373eb5590cec2ef5add592ebe7073df87e0e93988b6b110f5449f325507b915,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:37.023142
PROVIDER_1032,1032,Nurse Practitioner,MO,ed80e096c46cc6f1f4ddf7fc67a14567bade4dd8a7065a35d2a92f180db09708,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:37.023142
PROVIDER_1042,1042,Bariatric Surgeon,AZ,ad2fb24b20b88ba4653ca94e0468add5c1affa83043b9d15bea8c0dc7a266ea6,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:37.023142
PROVIDER_1043,1043,Pulmonologist,FL,62562db2da1b862f02ba28c33b632286658c30564e2201196f11090142b33236,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:37.023142
PROVIDER_1088,1088,Allergist,FL,3bc4048aa48b03bb5a8d535326374a05e4b10f3375c63a2f41a9e5458f97355e,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:37.023142
PROVIDER_1092,1092,Psychiatric Nurse,NE,0fda74f35bdd0e08106fa3574fd5751d797eb68793d4be81f99992c151981036,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:37.023142
PROVIDER_1108,1108,Cardiologist,MA,de9689c5f0163a0e48fcfc5178b49e03cb5b3f082f85607befdd7ea5924c7555,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:37.023142
PROVIDER_1130,1130,Allergist,OH,723786283e5e0d7cdf354728f59133bc3ec5be2b65f2d961aa1e79b19e815f92,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:37.023142
PROVIDER_1157,1157,Endocrinologist,CA,6bc51283aee7a7e316c9833b09018a193d1878248fdc0a1a1e2db43546a382a5,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:37.023142
PROVIDER_1176,1176,Dermatologist,TX,d2815d7de07c1795957ae9c6f2c88cb9a559323f3c048028b4042282341da10e,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:37.023142
PROVIDER_1193,1193,Dermatologist,NJ,7248752ef2c669c1317dff6d06c4dae42e52a8885f641630845439a7f5e3c169,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:37.023142
PROVIDER_1204,1204,Infectious Disease Specialist,SD,bf474ad57229cf02f32de067ddbd5328144b26852d862b9ebf23d18651a2690f,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:37.023142
PROVIDER_1210,1210,Eumunologist,AL,fbb8386271213d44016936fb100bfb7961b7ca4acd729be178afc2d996c6412a,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:37.023142
PROVIDER_1232,1232,Gastroenterologist,KY,c6238590074ee7e757fc255904c7a533088ed10d4446c746e4e426c4a4413b5c,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:37.023142
PROVIDER_1269,1269,Neurologist,OK,c1340b879b46f2747406d6849104faae86dbda67c78a9c8cc717763111522a64,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:37.023142
PROVIDER_1280,1280,Bariatric Surgeon,AZ,e493d39ba3076ad3f4c7f5c7361f4d8b9dea569b4b9832e1e7c384489779fcc2,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:37.023142
PROVIDER_1307,1307,Geriatrician,MN,4c5b2613527b945b823512f41406e24778bada104dd15b7bd6f537b0deaa6e0c,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:37.023142
PROVIDER_1310,1310,Obstetrician,MS,772f699ab04decd3302788327294e44b9bbe1faf15b5dc2a5531637f416524ac,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:37.023142
PROVIDER_1311,1311,Ophthalmologist,OR,1ea2a1c6d0037dfd81d5a0541c5685ec69b83a7615c465e131b22249e4b3ce9f,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:37.023142
PROVIDER_1324,1324,Psychologist,MD,ff0381bdf24ba3d2ae81285afb95d231f6640788f776ee23053f35b265069f97,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:37.023142
PROVIDER_1327,1327,Psychiatric Social Worker,OH,b10b0220310ec825a19b649575560702dfa068b9fd0e8758373489392563ff84,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:37.023142
PROVIDER_1344,1344,Nephrologist,AK,27dbadf7896135cf01f49864ab6d61645c7f8b2c8c76f6d97f1ba590952bc236,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:37.023142
PROVIDER_1346,1346,Infectious Disease Specialist,OK,e6ed87b306b91ee85fe0f48ab3978899c2a557d3707ba96b9262898951ac95c6,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:37.023142
PROVIDER_1390,1390,Hematologist,ND,90819cb4242e35fbe4ff0a434dc630475ffe033e1e7766cd7daae067f124a6dd,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:37.023142
